iter	RMSE
874	55510.09406
875	55478.68449
876	55470.06151
877	55447.46815
878	55411.85728
879	55389.69009
880	55369.05694
881	55350.0884
882	55328.97247
883	55309.2996
884	55267.25328
885	55254.11445
886	55189.75579
887	55149.7456
888	55117.31814
889	55100.40719
890	55094.97588
891	55041.95212
892	55022.28225
893	54976.81905
894	54950.58755
895	54906.27002
896	54900.93409
897	54884.3305
898	54842.40187
899	54795.26007
900	54744.1037
901	54729.54026
902	54690.06923
903	54668.67686
904	54620.99155
905	54605.7242
906	54584.34311
907	54544.4976
908	54521.4464
909	54498.87215
910	54461.20686
911	54430.574
912	54386.03335
913	54368.96959
914	54325.92337
915	54315.77342
916	54280.62634
917	54260.12045
918	54234.40345
919	54221.50024
920	54187.03788
921	54158.33689
922	54134.94845
923	54091.08751
924	54051.36152
925	54026.98306
926	53993.48091
927	53954.48459
928	53908.93211
929	53860.85314
930	53847.15316
931	53804.19153
932	53755.47127
933	53716.9163
934	53679.28248
935	53664.39966
936	53638.17531
937	53619.07779
938	53601.3214
939	53570.95106
940	53536.19525
941	53500.11671
942	53467.81355
943	53432.10307
944	53394.5531
945	53372.64888
946	53340.13835
947	53310.1961
948	53259.81503
949	53219.22699
950	53198.24334
951	53179.55646
952	53160.62525
953	53126.12474
954	53091.43301
955	53065.61246
956	53041.52771
957	53006.38617
958	52985.51146
959	52954.36848
960	52920.41543
961	52880.74956
962	52862.73411
963	52822.01849
964	52786.36185
965	52774.22132
966	52753.59108
967	52740.6586
968	52704.02046
969	52673.93381
970	52634.03545
971	52602.13221
972	52573.66144
973	52538.97627
974	52529.58413
975	52498.09907
976	52477.73206
977	52458.53318
978	52412.36006
979	52383.93989
980	52364.30834
981	52350.86096
982	52319.24536
983	52285.47096
984	52232.83651
985	52204.72465
986	52177.27634
987	52119.50639
988	52102.94975
989	52075.76108
990	52045.11632
991	52039.89963
992	51997.89759
993	51957.04299
994	51921.79994
995	51890.41106
996	51862.60858
997	51834.1235
998	51803.87157
999	51790.88131
